0.999928,0.02251
0.978797,0.030093
0.957516,0.037317
0.936095,0.04418
0.914539,0.050683
0.892855,0.05682
0.871049,0.062592
0.849128,0.067995
0.827099,0.073029
0.80497,0.077692
0.782745,0.081983
0.760433,0.085899
0.738041,0.089441
0.715574,0.092606
0.693041,0.095394
0.670448,0.097804
0.647801,0.099836
0.625109,0.101486
0.602378,0.102758
0.579615,0.103657
0.556826,0.104198
0.534019,0.104385
0.5112,0.104219
0.488376,0.103698
0.465556,0.102823
0.442744,0.101596
0.41995,0.100014
0.397179,0.09808
0.374439,0.095794
0.351736,0.093157
0.329078,0.09017
0.306472,0.086833
0.283924,0.083146
0.261443,0.079113
0.239034,0.074733
0.216704,0.070009
0.194459,0.064941
0.172309,0.059532
0.150259,0.053783
0.128315,0.047695
0.106485,0.041271
0.084774,0.034513
0.063192,0.027424
0.041743,0.020002
0.020446,0.011713
0.01725,0.010158
0.014233,0.008266
0.011429,0.006058
0.008871,0.00356
0.006591,0.000804
0.004613,-0.002182
0.002961,-0.005361
0.001655,-0.008694
0.00071,-0.012146
0.000136,-0.015677
-0.000058,-0.019236
0.000129,-0.022796
0.000694,-0.026325
0.001632,-0.029771
0.00293,-0.033107
0.004575,-0.036288
0.006546,-0.039278
0.008822,-0.042041
0.011374,-0.044545
0.014173,-0.04676
0.017187,-0.048662
0.020378,-0.050225
0.023712,-0.051442
0.027148,-0.052312
0.030648,-0.052825
0.034168,-0.052976
0.037669,-0.052763
0.04111,-0.052189
0.044449,-0.051261
0.065433,-0.04443
0.086561,-0.037939
0.107825,-0.031795
0.129218,-0.025998
0.150732,-0.02055
0.17236,-0.015453
0.194097,-0.010708
0.215934,-0.006318
0.237864,-0.002283
0.25988,0.001394
0.281975,0.004714
0.304141,0.007675
0.326371,0.010275
0.348656,0.012514
0.370992,0.014392
0.393369,0.015908
0.415781,0.01706
0.438219,0.017849
0.460676,0.018275
0.483147,0.018338
0.505621,0.018037
0.528092,0.017372
0.550554,0.016344
0.572998,0.014953
0.595416,0.013199
0.640371,0.009367
0.685325,0.005635
0.730275,0.002004
0.775223,-0.001522
0.82017,-0.004942
0.865113,-0.008252
0.910054,-0.01145
0.954993,-0.014531
0.999928,-0.01749
